# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-07 00:00:00,8352.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-06 00:00:00,8448.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-05 00:00:00,6331.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-04 00:00:00,6122.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-03 00:00:00,6245.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-02 00:00:00,5081.58,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-01 00:00:00,5627.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-31 00:00:00,7747.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-30 00:00:00,7135.58,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-29 00:00:00,6328.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-28 00:00:00,5733.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-27 00:00:00,5540.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-26 00:00:00,4890.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-25 00:00:00,4530.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-24 00:00:00,5292.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-23 00:00:00,7005.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-22 00:00:00,6614.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-21 00:00:00,6490.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-20 00:00:00,5301.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-19 00:00:00,4192.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-18 00:00:00,3717.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-17 00:00:00,3999,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-16 00:00:00,5382.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-15 00:00:00,5171.58,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-14 00:00:00,5568.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-13 00:00:00,4468.46,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-12 00:00:00,2349.25,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-11 00:00:00,2806.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-10 00:00:00,2658.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-09 00:00:00,4395.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-08 00:00:00,4789.92,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-07 00:00:00,5015.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-06 00:00:00,3773.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-05 00:00:00,2403.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-04 00:00:00,2623.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-03 00:00:00,2938.58,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-02 00:00:00,4436.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-01-01 00:00:00,4009.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-31 00:00:00,5139.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-30 00:00:00,2062.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-29 00:00:00,1518.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-28 00:00:00,3882.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-27 00:00:00,4882.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-26 00:00:00,5974.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-25 00:00:00,4985.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-24 00:00:00,5254.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-23 00:00:00,1643.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-22 00:00:00,1648.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-21 00:00:00,5067.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-20 00:00:00,5146.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-19 00:00:00,3241.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-18 00:00:00,5522.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-17 00:00:00,5185.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-16 00:00:00,5626.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-15 00:00:00,4798.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-14 00:00:00,5193.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-13 00:00:00,5472.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-12 00:00:00,5069.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-11 00:00:00,5940.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-10 00:00:00,5948.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-09 00:00:00,7154.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-08 00:00:00,7067.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-07 00:00:00,4922.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-06 00:00:00,5258.35,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-05 00:00:00,4880.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-04 00:00:00,5943,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-03 00:00:00,5455.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-02 00:00:00,6209.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-12-01 00:00:00,4809.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-30 00:00:00,4666.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-29 00:00:00,5615.46,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-28 00:00:00,5013.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-27 00:00:00,4556.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-26 00:00:00,5298.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-25 00:00:00,5489,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-24 00:00:00,5663.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-23 00:00:00,5260.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-22 00:00:00,4472.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-21 00:00:00,3411.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-20 00:00:00,5405.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-19 00:00:00,5817.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-18 00:00:00,6237,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-17 00:00:00,3675.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-16 00:00:00,5615.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-15 00:00:00,4656.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-14 00:00:00,3901.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-13 00:00:00,5572.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-12 00:00:00,6152.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-11 00:00:00,7210.25,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-10 00:00:00,6003.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-09 00:00:00,6267.62,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-08 00:00:00,5921.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-07 00:00:00,6530.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-06 00:00:00,6069.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-05 00:00:00,8066.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-04 00:00:00,6663.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-03 00:00:00,4954.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-02 00:00:00,3902.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-11-01 00:00:00,6073.46,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-31 00:00:00,6277.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-30 00:00:00,7740.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-29 00:00:00,6874.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-28 00:00:00,6904.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-27 00:00:00,4844.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-26 00:00:00,6394.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-25 00:00:00,8023.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-24 00:00:00,6544.92,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-23 00:00:00,7418.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-22 00:00:00,7245.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-21 00:00:00,7571.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-20 00:00:00,6145.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-19 00:00:00,5567.92,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-18 00:00:00,6278.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-17 00:00:00,6391.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-16 00:00:00,6768.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-15 00:00:00,6904.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-14 00:00:00,7165.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-13 00:00:00,5613.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-12 00:00:00,5427.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-11 00:00:00,7065.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2017-10-10 00:00:00,7433.21,cubic feet per second
